Employee ID,Username,Password,Role
,admin1,adminpw1,Admin
,admin2,adminpw2,Admin
,admin3,adminpw3,Admin
,admin4,adminpw4,Admin
,admin5,adminpw5,Admin
,hr1,hrpw1,HR
,hr2,hrpw2,HR
,hr3,hrpw3,HR
,finance1,financepw1,Finance
,finance2,financepw2,Finance
,finance3,financepw3,Finance
,it1,itpw1,IT
,it2,itpw2,IT
,it3,itpw3,IT
1,username1,pw1,Employee
2,username2,pw2,Employee
3,username3,pw3,Employee
4,username4,pw4,Employee
5,username5,pw5,Employee
6,username6,pw6,Employee
7,username7,pw7,Employee
8,username8,pw8,Employee
9,username9,pw9,Employee
10,username10,pw10,Employee
11,username11,pw11,Employee
12,username12,pw12,Employee
13,username13,pw13,Employee
14,username14,pw14,Employee
15,username15,pw15,Employee
16,username16,pw16,Employee
17,username17,pw17,Employee
18,username18,pw18,Employee
19,username19,pw19,Employee
20,username20,pw20,Employee
21,username21,pw21,Employee
22,username22,pw22,Employee
23,username23,pw23,Employee
24,username24,pw24,Employee
25,username25,pw25,Employee
26,username26,pw26,Employee
27,username27,pw27,Employee
28,username28,pw28,Employee
29,username29,pw29,Employee
30,username30,pw30,Employee
31,username31,pw31,Employee
32,username32,pw32,Employee
33,username33,pw33,Employee
34,username34,pw34,Employee
